time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
1.75,7.19644875,1.11329629,0.05506818,0.57903824,1.02796853,-0.00998288,16.42788845,-4.0659785,-10.48340564,-11.66752768,0.29441699,0.00000084,0,-18.22689923,4.61306195,2.26301618,-2.42579473,10.59885424,0.0000034,0,-23.6572872,-2.04470984,-6.90767952
1.76666667,7.30770062,1.71129175,0.08341098,0.57923263,1.02390131,-0.00936786,15.78181893,-4.17616666,-8.75875241,-6.31270341,0.46441112,0.00000126,0,-19.89388077,5.13113539,2.71514526,-1.84505934,11.20091164,0.00000336,0,-23.75420889,-2.50730075,-7.18583167
1.78333333,7.41068655,2.14443901,0.30478885,0.57989633,1.0199102,-0.00895192,15.17338121,-4.31864729,-7.10761767,-2.0030819,0.90718605,0.00000143,0,-21.59871563,5.3697793,3.39488715,-1.22765104,11.70603827,0.00000327,0,-23.74513087,-2.67800085,-7.69015268
1.8,7.45030665,2.49482662,0.43932165,0.58038105,1.01617798,-0.00827036,14.8557439,-4.45799013,-5.56445246,0.93331614,1.3741775,0.00000143,0,-22.95449712,5.52560857,3.96547539,-1.1508171,12.3018665,0.00000343,0,-23.71007119,-2.7994241,-8.0202809
1.81666667,7.55144478,2.79996407,0.73750725,0.58076892,1.01323349,-0.00762947,14.76188469,-4.64220043,-4.57361397,2.1623875,1.78771796,0.00000146,0,-24.04974012,5.55691381,4.63230762,-1.70885615,12.95459014,0.00000397,0,-23.86451946,-2.82789867,-8.3496711
1.83333333,7.703133,2.67103915,1.16398657,0.5814581,1.01103261,-0.00694471,14.71173499,-4.39053802,-4.26404024,2.03973742,1.71798608,0.00000143,0,-25.09654028,5.08732555,5.25872878,-2.46392658,13.54779246,0.0000043,0,-23.99613789,-2.2361837,-8.7212973
1.85,7.70492391,2.45430932,1.33621463,0.58300248,1.00928757,-0.00519988,15.1994539,-3.94562168,-4.01116208,0.23176645,1.40380911,0.00000128,0,-25.80672802,4.60785586,5.49308466,-3.61892893,14.01558954,0.0000049,0,-23.90479581,-1.84001852,-8.72425666
1.86666667,7.81189471,2.1081128,1.46176801,0.58441825,1.00818056,-0.00333248,15.7048883,-3.35410515,-4.02205125,-2.43747037,0.53335065,0.00000118,0,-26.34539409,4.04692225,5.53122465,-5.28845497,14.39366125,0.00000561,0,-23.97402954,-1.09229812,-8.72209734
1.88333333,7.60654974,1.8322156,1.86749188,0.58728966,1.00731045,-0.00189473,16.33946194,-2.95687012,-4.40826644,-5.29234476,-0.62084825,0.00000097,0,-26.5407942,3.45339393,5.770212,-7.05063031,14.3668756,0.0000063,0,-23.48925374,-0.40259432,-8.96893901
1.9,7.37025607,1.60519176,2.17062907,0.5906028,1.0069297,0.00010293,16.91920635,-2.61817177,-4.67491812,-8.16038757,-1.81615835,0.00000072,0,-26.41962789,2.95223039,5.89778229,-9.34513797,14.10241839,0.00000717,0,-22.92579448,0.20810058,-8.91049605
